geoid,geoname,year,cvap_est
04000US45,South Carolina,2016,3731350.0
04000US46,South Dakota,2016,635405.0
04000US47,Tennessee,2016,4964910.0
04000US48,Texas,2016,17859495.0
04000US49,Utah,2016,1982910.0
04000US50,Vermont,2016,494675.0
04000US51,Virginia,2016,6096245.0
04000US53,Washington,2016,5173975.0
04000US54,West Virginia,2016,1442035.0
04000US55,Wisconsin,2016,4347415.0
04000US56,Wyoming,2016,432285.0
04000US01,Alabama,2017,3685075.0
04000US02,Alaska,2017,530995.0
04000US04,Arizona,2017,4920450.0
04000US05,Arkansas,2017,2207335.0
04000US06,California,2017,25494385.0
04000US08,Colorado,2017,4063875.0
04000US09,Connecticut,2017,2605410.0
04000US10,Delaware,2017,710280.0
04000US11,District of Columbia,2017,519265.0
04000US12,Florida,2017,14988415.0
04000US13,Georgia,2017,7356560.0
04000US15,Hawaii,2017,1018390.0
04000US16,Idaho,2017,1220310.0
04000US17,Illinois,2017,9049960.0
04000US18,Indiana,2017,4903145.0
04000US19,Iowa,2017,2321085.0
04000US20,Kansas,2017,2084735.0
04000US21,Kentucky,2017,3349115.0
04000US22,Louisiana,2017,3459490.0
04000US23,Maine,2017,1064670.0
04000US24,Maryland,2017,4280945.0
04000US25,Massachusetts,2017,4992535.0
04000US26,Michigan,2017,7495885.0
04000US27,Minnesota,2017,4069675.0
04000US28,Mississippi,2017,2232330.0
04000US29,Missouri,2017,4603770.0
04000US30,Montana,2017,812540.0
04000US31,Nebraska,2017,1366080.0
04000US32,Nevada,2017,2018930.0
04000US33,New Hampshire,2017,1055455.0
04000US34,New Jersey,2017,6132175.0
04000US35,New Mexico,2017,1496285.0
04000US36,New York,2017,13723455.0
04000US37,North Carolina,2017,7514970.0
04000US38,North Dakota,2017,564480.0
04000US39,Ohio,2017,8820895.0
04000US40,Oklahoma,2017,2837290.0
04000US41,Oregon,2017,3054025.0
04000US42,Pennsylvania,2017,9759725.0
04000US72,Puerto Rico,2017,2626420.0
04000US44,Rhode Island,2017,792920.0
04000US45,South Carolina,2017,3785355.0
04000US46,South Dakota,2017,639670.0
04000US47,Tennessee,2017,5019115.0
04000US48,Texas,2017,18181330.0
04000US49,Utah,2017,2029030.0
04000US50,Vermont,2017,495820.0
